,id,uptime,ifans,gender,num_fans,fans_cat,num_videos,num_charge,av_coin,av_danmu,av_star,av_like,av_play,av_comment,av_share
127,173492116,2019-08-04,5.0,False,47100,0,2,0,51800,21900,96800,162500,7937600,17500,85600
128,131379521,2022-08-26,4.52,False,53600,0,198,73,701,114,1265,6371,68800,136,402
129,200649168,2022-10-22,4.36,True,37400,0,437,11,106,98,468,4057,69500,121,27
130,14478936,2022-08-30,4.85,False,88500,0,1927,2349,178,164,33,640,18000,78,23
131,352568893,2022-12-01,3.67,True,87600,0,293,2,116,106,1071,11200,92300,40,649
132,27743951,2018-03-31,3.52,False,74800,0,640,0,11,5,57,61,2306,10,24
133,3590116,2022-08-04,3.36,False,86700,0,49,70,7403,1081,11900,55400,644400,573,2755
134,497328308,2022-11-16,3.44,False,25600,0,116,0,22,4,1072,292,81900,3,4
135,16573314,2022-09-17,5.58,False,51700,0,337,4506,144,75,60,1100,23300,70,57
136,524037255,2022-11-01,4.0,False,54400,0,152,1,250,193,1315,15400,182500,576,349
137,9867595,2022-06-07,3.33,True,63700,0,42,134,5554,1200,6816,7881,65500,422,967
138,547140757,2022-11-29,5.27,True,66300,0,1731,0,187,25,1246,8252,102100,99,1375
139,319281671,2022-11-27,3.58,True,89600,0,198,137,141,5,2285,3057,15500,56,51
140,74184546,2022-12-01,5.57,False,90100,0,172,108,1271,76,3300,8862,83300,94,153
141,430294814,2022-11-30,4.48,False,61400,0,619,56,32,6,922,324,90600,24,1
142,25215790,2022-12-01,3.41,False,60599,0,605,1368,719,431,70,1877,15700,104,26
143,1561008,2020-01-27,3.5,True,82800,0,12,223,37700,6427,57699,27400,2247600,2183,13400
144,427203729,2020-12-21,3.91,True,39700,0,244,0,64,39,159,717,4048,46,29
145,83785129,2022-10-12,4.11,False,59400,0,20,93,8050,284,9459,21900,185000,219,883
146,14787891,2022-08-21,5.5,True,59600,0,1965,0,28,76,362,653,13400,36,17
147,42602110,2022-07-04,7.63,False,92000,0,221,5831,3483,192,380,4593,24000,272,21
148,10981365,2019-12-02,3.93,True,36900,0,2160,53,59,44,356,357,7583,42,64
149,263573738,2022-10-18,4.34,True,52900,0,104,0,1455,131,3766,24400,282600,109,2835
150,287535222,2022-12-01,11.43,False,56500,0,679,12,21,12,403,2305,45800,79,540
151,397431948,2022-02-03,3.73,False,73100,0,23,22,304,195,1265,2899,184300,167,1216
152,14043628,2019-12-02,5.02,False,97700,0,177,267,3014,417,2129,5931,104200,414,644
153,2868671,2022-11-11,3.78,False,77700,0,96,61,410,136,1918,5213,120900,139,80
154,30946449,2022-11-30,4.72,False,83500,0,217,51,208,37,2275,6354,27300,72,205
155,349208226,2022-11-17,3.94,False,73800,0,57,72,3396,326,6706,14800,266900,221,3899
156,29187699,2022-11-30,5.01,False,70100,0,466,2736,299,314,332,2346,14800,137,10
157,15618582,2022-08-05,7.43,True,76600,0,918,0,89,26,952,2593,23300,85,64
158,20201784,2022-11-19,7.46,True,77700,0,5744,24,25,20,159,390,5948,27,35
159,494007318,2022-12-01,3.86,True,11700,0,1889,0,14,3,178,1154,15100,55,197
160,78785,2022-12-01,3.55,True,86300,0,3223,0,15,3,146,295,2331,15,20
161,99906730,2022-12-01,3.78,True,73800,0,1161,44,37,7,137,6697,92899,50,29
