"","idx","id","uptime","ifans","gender","num_fans","fans_cat","num_videos","num_charge","av_coin","av_danmu","av_star","av_like","av_play","av_comment","av_share"
"1",0,"376874873",0.990044798407168,0,"1",0.00161205231687531,"0",0.00287020109689214,0.00024390243902439,0.00144086535588358,0.00273097826086957,0.0115492393915132,0.00663368752734049,0.0139092127700933,0.00606126009460602,0.0263245492371706
"2",1,"284906814",0.996515679442509,0.00343180831489942,"1",0.00181332206854159,"0",0.00182815356489945,0.000260162601626016,0.00106794956074822,0.00351902173913043,0.0240192153722978,0.015517026164775,0.0136545270204726,0.00937067213439091,0.0206934812760055
"3",2,"1616728",0.542060726729716,0.000868288850757686,"1",0.00211641063575668,"0",0.00175502742230347,0.00133333333333333,0.000631088268690611,0.0532336956521739,0.0123638911128903,0.00166545028445351,0.00354200460906299,0.00393891976474397,0.0015880721220527
"4",3,"1791122",0.963663514186162,0.00138512745239917,"0",0.000977460629268695,"0",0.00723948811700183,0.00067479674796748,0.000460168529253571,0.00171195652173913,0.00274819855884708,0.00179589743705081,0.00602893604653558,0.00305760894980126,0.0100624133148405
"5",4,"31425423",0.997511199601792,0.000930309482954663,"0",0.000970356990974591,"0",0.00219378427787934,0.000552845528455285,0.00160043028745593,0.00546195652173913,0.01121096877502,0.0124250912848932,0.0268082969126469,0.00935268619939207,0.0251595006934813
"6",5,"131111",0.772025883524141,0.000289429616919229,"0",0.00196960211101187,"0",0.00056672760511883,0.00821138211382114,0.0167931632104225,0.0895380434782609,0.0900720576461169,0.0164734511930854,0.0435351580568526,0.0284177772981528,0.0458183079056865
"7",6,"490002276",0.996017919362867,0.00535444791300573,"0",0.00211165119809963,"0",0.00135283363802559,0,0.0025590151198231,0.00330163043478261,0.0416333066453163,0.0766928048274443,0.105768370052402,0.0201262612636918,0.13245492371706
"8",7,"2067160",0.999004479840717,0.00953050381426888,"1",0.00216140034495268,"0",0.00586837294332724,0.00139837398373984,0.00170202593677165,0.0046875,0.0117954363490793,0.00646500586449914,0.0057218149955224,0.00591737261461537,0.00789875173370319
"9",8,"7287761",0.996515679442509,0.000351450249116207,"1",0.00108164732424888,"0",0.00985374771480804,0.000699186991869919,2.56977230622124e-05,1.35869565217391e-05,0.0011369095276221,0.000289570187877636,0.000188092916852219,0.000449648374970773,2.77392510402219e-05
"10",9,"509281735",0.998506719761075,0.000537512145707139,"0",0.00131133162909158,"0",0.00301645338208409,5.69105691056911e-05,2.68929659953386e-05,0.000502717391304348,0.00113490792634107,0.000269328388336675,0.00542967545919279,0.00079138113994856,3.46740638002774e-05
"11",10,"1803963357",0.999004479840717,0.00456885323851068,"1",0.00200038454361965,"0",0.003327239488117,0,3.22715591944063e-05,0.0013179347826087,0.00145516413130504,0.00025189794984307,0.00131724967855288,0.00118707170992284,0.000395284327323162
