"","1"
"(Intercept)",5.26
"uptime",-5.69
"gender",0.15
"num_videos",0
"num_charge",-20.74
"av_coin",0
"av_danmu",0
"av_star",0
"av_like",-21.17
"av_play",0
"av_comment",0
"av_share",0
